------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Uniform 1.0092 m spacing, 57 nodes, blended polars (aerodynamics preserved) by uniformize_blade.py
======  Blade Properties =================================================================
         57   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn            BlCrvAC         BlSwpAC          BlCrvAng         BlTwist           BlChord    BlAFID    BlCb    BlCenBn    BlCenBt
   (m)               (m)             (m)              (deg)           (deg)              (m)        (-)     (-)     (m)        (m)
 0.000000E+00  0.000000E+00  0.000000E+00  4.010705E-02  9.999999E+00  3.009000E+00      1      0.0      0.0      0.0
 1.009179E+00  1.572203E-03  2.953511E-03  2.694874E-01  1.071430E+01  2.868481E+00      2      0.0      0.0      0.0
 2.018357E+00  1.028134E-02  1.287268E-02  7.089133E-01  2.194620E+01  2.980708E+00      3      0.0      0.0      0.0
 3.027536E+00  2.552296E-02  3.157834E-02  9.907516E-01  2.393514E+01  3.106703E+00      4      0.0      0.0      0.0
 4.036714E+00  4.236137E-02  4.970177E-02  8.072080E-01  2.299674E+01  3.220640E+00      5      0.0      0.0      0.0
 5.045893E+00  5.352566E-02  1.110825E-01  8.768257E-01  2.186418E+01  3.315008E+00      6      0.0      0.0      0.0
 6.055071E+00  7.450948E-02  1.805824E-01  1.588265E+00  2.055197E+01  3.392140E+00      7      0.0      0.0      0.0
 7.064250E+00  1.105520E-01  2.310605E-01  1.985587E+00  1.911974E+01  3.454074E+00      8      0.0      0.0      0.0
 8.073429E+00  1.458251E-01  2.761453E-01  1.513687E+00  1.761053E+01  3.502285E+00      9      0.0      0.0      0.0
 9.082607E+00  1.663261E-01  3.079515E-01  5.216753E-01  1.606574E+01  3.539121E+00     10      0.0      0.0      0.0
 1.009179E+01  1.620793E-01  3.187785E-01 -2.426393E-01  1.452399E+01  3.565112E+00     11      0.0      0.0      0.0
 1.110096E+01  1.544997E-01  3.342032E-01 -4.100082E-01  1.298588E+01  3.581384E+00     12      0.0      0.0      0.0
 1.211014E+01  1.466018E-01  3.467073E-01 -3.729903E-01  1.152361E+01  3.592069E+00     13      0.0      0.0      0.0
 1.311932E+01  1.391093E-01  3.549568E-01 -2.189779E-01  1.015146E+01  3.598095E+00     14      0.0      0.0      0.0
 1.412850E+01  1.392811E-01  3.582852E-01 -3.438503E-01  9.010928E+00  3.599338E+00     15      0.0      0.0      0.0
 1.513768E+01  1.316480E-01  3.271680E-01 -4.383190E-01  8.004703E+00  3.598835E+00     16      0.0      0.0      0.0
 1.614686E+01  1.166941E-01  2.637416E-01 -5.042699E-01  7.124452E+00  3.596693E+00     17      0.0      0.0      0.0
 1.715604E+01  1.124674E-01  2.646281E-01 -4.846813E-01  6.451563E+00  3.588799E+00     18      0.0      0.0      0.0
 1.816521E+01  1.064521E-01  2.735496E-01 -4.941334E-01  5.854179E+00  3.577022E+00     19      0.0      0.0      0.0
 1.917439E+01  9.297408E-02  2.847975E-01 -6.001786E-01  5.388752E+00  3.557097E+00     20      0.0      0.0      0.0
