! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroDyn15 polar file, created from Blade2OpenFAST.py on 03-Aug-2025 02:24:36
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
0                        NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
"unused"                 BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! Cylinder_MicroVG_5_25.0_500000_o
! ------------------------------------------------------------------------------
     0.5                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
False                    InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
! Table of aerodynamics coefficients
175                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl        Cd        Cm
!    (deg)      (-)       (-)       (-)
   -180.000000     -0.000190      0.499307     -0.000081
   -179.000000     -0.000006      0.499307      0.000005
   -178.000000      0.000179      0.499311      0.000090
   -177.000000      0.000364      0.499315      0.000174
   -176.000000      0.000549      0.499322      0.000257
   -175.000000      0.000733      0.499331      0.000340
   -174.000000      0.000918      0.499342      0.000421
   -173.000000      0.001103      0.499355      0.000502
   -172.000000      0.001288      0.499370      0.000582
   -171.000000      0.001472      0.499388      0.000660
   -170.000000      0.001617      0.499410      0.000722
   -169.000000      0.001568      0.499440      0.000707
   -168.000000      0.001481      0.499484      0.000679
   -167.000000      0.001440      0.499537      0.000670
   -166.000000      0.001411      0.499598      0.000667
   -165.000000      0.001401      0.499664      0.000673
   -164.000000      0.001410      0.499737      0.000687
   -163.000000      0.001430      0.499811      0.000707
   -162.000000      0.001462      0.499888      0.000731
   -161.000000      0.001501      0.499967      0.000758
   -160.000000      0.001545      0.500044      0.000788
   -157.000000      0.001680      0.500296      0.000881
   -154.000000      0.001767      0.500542      0.000959
   -151.000000      0.001789      0.500781      0.001016
   -148.000000      0.001784      0.501009      0.001065
   -145.000000      0.001754      0.501227      0.001107
   -142.000000      0.001703      0.501433      0.001143
   -139.000000      0.001631      0.501624      0.001172
   -136.000000      0.001542      0.501799      0.001196
   -133.000000      0.001438      0.501962      0.001215
   -130.000000      0.001321      0.502109      0.001228
   -127.000000      0.001193      0.502240      0.001238
   -124.000000      0.001056      0.502357      0.001243
   -121.000000      0.000911      0.502458      0.001244
   -118.000000      0.000760      0.502545      0.001242
   -115.000000      0.000605      0.502616      0.001237
   -112.000000      0.000446      0.502675      0.001228
   -109.000000      0.000284      0.502719      0.001217
   -106.000000      0.000122      0.502749      0.001203
   -103.000000     -0.000042      0.502767      0.001187
   -100.000000     -0.000205      0.502771      0.001168
    -97.000000     -0.000366      0.502765      0.001148
    -94.000000     -0.000526      0.502747      0.001125
    -91.000000     -0.000684      0.502716      0.001100
    -88.000000     -0.000838      0.502677      0.001074
    -85.000000     -0.000989      0.502624      0.001046
    -82.000000     -0.001136      0.502561      0.001017
    -79.000000     -0.001279      0.502488      0.000986
    -76.000000     -0.001416      0.502405      0.000954
    -73.000000     -0.001547      0.502313      0.000921
    -70.000000     -0.001672      0.502210      0.000886
    -67.000000     -0.001789      0.502095      0.000851
    -64.000000     -0.001898      0.501973      0.000815
    -61.000000     -0.001999      0.501841      0.000778
    -58.000000     -0.002090      0.501698      0.000740
    -55.000000     -0.002169      0.501547      0.000701
    -52.000000     -0.002237      0.501387      0.000662
    -49.000000     -0.002291      0.501220      0.000622
    -46.000000     -0.002330      0.501042      0.000582
    -43.000000     -0.002353      0.500858      0.000541
    -40.000000     -0.002358      0.500669      0.000501
    -37.000000     -0.002344      0.500474      0.000459
    -34.000000     -0.002308      0.500272      0.000418
    -31.000000     -0.002273      0.500066      0.000372
    -28.000000     -0.002341      0.499811      0.000289
    -25.000000     -0.002446      0.499550      0.000189
    -22.000000     -0.002521      0.499335      0.000106
    -20.000000     -0.002450      0.499243      0.000074
    -19.000000     -0.002314      0.499214      0.000062
    -18.000000     -0.002179      0.499186      0.000052
    -17.000000     -0.002112      0.499162      0.000051
    -16.000000     -0.002054      0.499135      0.000051
    -15.000000     -0.001986      0.499105      0.000045
    -14.000000     -0.001918      0.499076      0.000038
    -13.000000     -0.001857      0.499048      0.000034
    -12.000000     -0.001795      0.499019      0.000029
    -11.000000     -0.001677      0.498984      0.000011
    -10.000000     -0.001543      0.498947     -0.000011
     -9.000000     -0.001365      0.498909     -0.000040
     -8.000000     -0.001176      0.498870     -0.000071
     -7.000000     -0.000995      0.498828     -0.000097
     -6.000000     -0.000814      0.498784     -0.000123
     -5.000000     -0.000616      0.498743     -0.000151
     -4.000000     -0.000409      0.498701     -0.000179
     -3.000000     -0.000162      0.498666     -0.000206
     -2.000000      0.000096      0.498631     -0.000236
     -1.000000      0.000404      0.498593     -0.000289
      0.000000      0.000888      0.498563     -0.000366
      1.000000      0.001328      0.498539     -0.000433
      2.000000      0.001727      0.498532     -0.000462
      3.000000      0.002117      0.498530     -0.000481
      4.000000      0.002497      0.498530     -0.000498
      5.000000      0.002866      0.498530     -0.000512
      6.000000      0.003233      0.498530     -0.000526
      7.000000      0.003587      0.498530     -0.000536
      8.000000      0.003940      0.498532     -0.000546
      9.000000      0.004290      0.498534     -0.000555
     10.000000      0.004639      0.498536     -0.000563
     11.000000      0.004979      0.498541     -0.000569
     12.000000      0.005298      0.498547     -0.000571
     13.000000      0.005595      0.498554     -0.000569
     14.000000      0.005845      0.498561     -0.000560
     15.000000      0.006089      0.498567     -0.000549
     16.000000      0.006298      0.498576     -0.000535
     17.000000      0.006482      0.498587     -0.000519
     18.000000      0.006644      0.498600     -0.000502
     19.000000      0.006759      0.498620     -0.000484
     20.000000      0.006835      0.498651     -0.000467
     22.000000      0.006059      0.498980     -0.000518
     25.000000      0.003961      0.499423     -0.000561
     28.000000      0.003565      0.499555     -0.000536
     31.000000      0.003131      0.499842     -0.000516
     34.000000      0.002741      0.500208     -0.000499
     37.000000      0.002527      0.500540     -0.000490
     40.000000      0.002530      0.500766     -0.000522
     43.000000      0.002530      0.500974     -0.000567
     46.000000      0.002511      0.501174     -0.000610
     49.000000      0.002474      0.501367     -0.000654
     52.000000      0.002420      0.501554     -0.000697
     55.000000      0.002351      0.501729     -0.000740
     58.000000      0.002269      0.501896     -0.000781
     61.000000      0.002174      0.502052     -0.000823
     64.000000      0.002068      0.502196     -0.000863
     67.000000      0.001952      0.502332     -0.000902
     70.000000      0.001827      0.502458     -0.000941
     73.000000      0.001694      0.502572     -0.000978
     76.000000      0.001554      0.502675     -0.001014
     79.000000      0.001407      0.502769     -0.001049
     82.000000      0.001254      0.502850     -0.001083
     85.000000      0.001096      0.502921     -0.001115
     88.000000      0.000933      0.502978     -0.001145
     91.000000      0.000767      0.503024     -0.001174
     94.000000      0.000597      0.503059     -0.001201
     97.000000      0.000424      0.503081     -0.001226
    100.000000      0.000249      0.503092     -0.001249
    103.000000      0.000073      0.503087     -0.001269
    106.000000     -0.000103      0.503070     -0.001287
    109.000000     -0.000279      0.503039     -0.001302
    112.000000     -0.000454      0.502993     -0.001315
    115.000000     -0.000627      0.502934     -0.001324
    118.000000     -0.000796      0.502857     -0.001331
    121.000000     -0.000960      0.502767     -0.001333
    124.000000     -0.001117      0.502657     -0.001332
    127.000000     -0.001266      0.502534     -0.001327
    130.000000     -0.001406      0.502394     -0.001318
    133.000000     -0.001533      0.502236     -0.001303
    136.000000     -0.001647      0.502063     -0.001284
    139.000000     -0.001744      0.501874     -0.001259
    142.000000     -0.001823      0.501668     -0.001228
    145.000000     -0.001881      0.501448     -0.001190
    148.000000     -0.001915      0.501213     -0.001145
    151.000000     -0.001922      0.500968     -0.001093
    154.000000     -0.001899      0.500711     -0.001032
    157.000000     -0.001849      0.500443     -0.000963
    160.000000     -0.001787      0.500171     -0.000892
    161.000000     -0.001767      0.500083     -0.000871
    162.000000     -0.001751      0.499993     -0.000851
    163.000000     -0.001737      0.499901     -0.000832
    164.000000     -0.001728      0.499809     -0.000816
    165.000000     -0.001724      0.499721     -0.000802
    166.000000     -0.001735      0.499638     -0.000796
    167.000000     -0.001769      0.499563     -0.000800
    168.000000     -0.001819      0.499500     -0.000813
    169.000000     -0.001920      0.499447     -0.000847
    170.000000     -0.002003      0.499412     -0.000876
    171.000000     -0.001864      0.499390     -0.000818
    172.000000     -0.001679      0.499372     -0.000740
    173.000000     -0.001493      0.499357     -0.000661
    174.000000     -0.001306      0.499344     -0.000581
    175.000000     -0.001120      0.499331     -0.000500
    176.000000     -0.000935      0.499322     -0.000418
    177.000000     -0.000748      0.499315     -0.000335
    178.000000     -0.000562      0.499311     -0.000251
    179.000000     -0.000377      0.499307     -0.000167
    180.000000     -0.000190      0.499307     -0.000081
