! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroDyn15 polar file, created from Blade2OpenFAST.py on 03-Aug-2025 02:25:00
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
0                        NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
"unused"                 BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! EC116__22494_25.0_5000000_optimi
! ------------------------------------------------------------------------------
     5.0                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
True                    InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
!........................................
1.000000                  eta_e       ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True. (-)
Default                  T_f0        ! Initial value of the time constant associated with Df in the expression of Df and f. [default = 3]
Default                  T_V0        ! Initial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. [default = 6]
Default                  T_p         ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. [default = 1.7]
Default                  T_VL        ! Initial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. [valid range = 6 - 13, default = 11]
Default                  b1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.14]
Default                  b2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.53]
Default                  b5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q.  [from  experimental results, defaults to 5]
Default                  A1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.3]
Default                  A2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.7]
Default                  A5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q. [from experimental results, defaults to 1]
0.000000                 S1          ! Constant in the f curve best-fit for alpha0<=AOA<=alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S2          ! Constant in the f curve best-fit for         AOA> alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S3          ! Constant in the f curve best-fit for alpha2<=AOA< alpha0; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S4          ! Constant in the f curve best-fit for         AOA< alpha2; by definition it depends on the airfoil. [ignored if UAMod<>1]
Default                  St_sh       ! Strouhal's shedding frequency constant.  [default = 0.19]
0.000000                 k0          ! Constant in the \hat(x)_cp curve best-fit; = (\hat(x)_AC-0.25).  [ignored if UAMod<>1]
0.000000                 k1          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k2          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k3          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k1_hat      ! Constant in the expression of Cc due to leading edge vortex effects.  [ignored if UAMod<>1]
Default                  x_cp_bar    ! Constant in the expression of \hat(x)_cp^v. [ignored if UAMod<>1, default = 0.2]
Default                  UACutout    ! Angle of attack above which unsteady aerodynamics are disabled (deg). [Specifying the string "Default" sets UACutout to 45 degrees]
Default                  filtCutOff  ! Cut-off frequency (-3 dB corner frequency) for low-pass filtering the AoA input to UA, as well as the 1st and 2nd derivatives (Hz) [default = 20]
!........................................
! Table of aerodynamics coefficients
175                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl        Cd        Cm
!    (deg)      (-)       (-)       (-)
   -180.000000     -0.568090      0.019169     -0.241440
   -179.000000     -0.478970      0.019469     -0.202460
   -178.000000     -0.389850      0.020369     -0.163770
   -177.000000     -0.300730      0.021869     -0.125400
   -176.000000     -0.211610      0.023969     -0.087377
   -175.000000     -0.122490      0.026669     -0.049710
   -174.000000     -0.033374      0.029969     -0.012424
   -173.000000      0.055746      0.033869      0.024461
   -172.000000      0.144870      0.038369      0.060924
   -171.000000      0.233990      0.043469      0.096947
   -170.000000      0.323110      0.049169      0.132510
   -169.000000      0.309040      0.062039      0.127220
   -168.000000      0.290800      0.083205      0.121200
   -167.000000      0.282890      0.111010      0.120160
   -166.000000      0.276970      0.143800      0.120740
   -165.000000      0.274640      0.179930      0.123440
   -164.000000      0.283590      0.217720      0.131010
   -163.000000      0.308280      0.255530      0.144830
   -162.000000      0.345520      0.291700      0.163310
   -161.000000      0.392080      0.324580      0.184870
   -160.000000      0.444750      0.352510      0.207920
   -157.000000      0.607350      0.421220      0.275190
   -154.000000      0.709360      0.492240      0.319530
   -151.000000      0.737540      0.564650      0.338680
   -148.000000      0.756180      0.637630      0.355220
   -145.000000      0.765780      0.710430      0.369360
   -142.000000      0.766840      0.782370      0.381290
   -139.000000      0.759840      0.852830      0.391190
   -136.000000      0.745310      0.921260      0.399220
   -133.000000      0.723750      0.987150      0.405520
   -130.000000      0.695650      1.050100      0.410230
   -127.000000      0.661530      1.109600      0.413460
   -124.000000      0.621880      1.165300      0.415330
   -121.000000      0.577200      1.217100      0.415930
   -118.000000      0.527990      1.264400      0.415360
   -115.000000      0.474720      1.307200      0.413690
   -112.000000      0.417880      1.345300      0.411020
   -109.000000      0.357950      1.378300      0.407400
   -106.000000      0.295390      1.406300      0.402900
   -103.000000      0.230690      1.429000      0.397590
   -100.000000      0.164290      1.446500      0.391510
   -97.000000      0.096653      1.458500      0.384730
   -94.000000      0.028241      1.465200      0.377280
   -91.000000     -0.040499      1.466400      0.369220
   -88.000000     -0.109120      1.462200      0.360580
   -85.000000     -0.177170      1.452500      0.351400
   -82.000000     -0.244200      1.437600      0.341720
   -79.000000     -0.309770      1.417300      0.331580
   -76.000000     -0.373440      1.391900      0.321000
   -73.000000     -0.434750      1.361400      0.310020
   -70.000000     -0.493270      1.326000      0.298670
   -67.000000     -0.548540      1.285900      0.286970
   -64.000000     -0.600110      1.241200      0.274970
   -61.000000     -0.647540      1.192200      0.262670
   -58.000000     -0.690360      1.139200      0.250110
   -55.000000     -0.728130      1.082500      0.237320
   -52.000000     -0.760390      1.022300      0.224310
   -49.000000     -0.786680      0.959050      0.211130
   -46.000000     -0.806550      0.893200      0.197790
   -43.000000     -0.819540      0.825170      0.184330
   -40.000000     -0.821930      0.753820      0.169510
   -37.000000     -0.792000      0.672540      0.147330
   -34.000000     -0.736400      0.585080      0.120120
   -31.000000     -0.666990      0.495450      0.090685
   -28.000000     -0.595610      0.407620      0.061874
   -25.000000     -0.534090      0.325600      0.036512
   -22.000000     -0.494290      0.253370      0.017427
   -20.000000     -0.485660      0.212620      0.009589
   -19.000000     -0.490930      0.196540      0.007539
   -18.000000     -0.496060      0.180540      0.005740
   -17.000000     -0.506510      0.162590      0.002727
   -16.000000     -0.537160      0.149010      0.000398
   -15.000000     -0.675300      0.103580     -0.041446
   -14.000000     -0.867070      0.018196     -0.130560
   -13.000000     -0.754330      0.015068     -0.134420
   -12.000000     -0.653400      0.013637     -0.134540
   -11.000000     -0.544800      0.012256     -0.135230
   -10.000000     -0.432980      0.011076     -0.136010
    -9.000000     -0.320150      0.010204     -0.136800
    -8.000000     -0.206660      0.009517     -0.137600
    -7.000000     -0.092504      0.008871     -0.138400
    -6.000000      0.021734      0.008508     -0.139310
    -5.000000      0.134900      0.008174     -0.139910
    -4.000000      0.248540      0.008049     -0.140470
    -3.000000      0.362140      0.007895     -0.141080
    -2.000000      0.475000      0.007723     -0.141530
    -1.000000      0.588050      0.007583     -0.141990
     0.000000      0.701190      0.007665     -0.142430
     1.000000      0.814130      0.007626     -0.142760
     2.000000      0.929830      0.007468     -0.143920
     3.000000      1.041800      0.007621     -0.144340
     4.000000      1.150900      0.007956     -0.144080
     5.000000      1.258800      0.008362     -0.143540
