radius_m,chord_m
3.9888,2.6601
4.7701,2.6625
5.6943,2.8052
6.7211,3.1234
7.4511,3.2756
8.0773,3.3359
8.7960,3.4112
9.5511,3.4766
10.2982,3.5184
11.0548,3.5582
11.8223,3.5946
12.5960,3.6178
13.3793,3.6278
14.1779,3.6298
14.9725,3.6280
15.7088,3.6249
16.2743,3.6217
16.7671,3.6180
17.5167,3.6124
18.4171,3.6039
19.2648,3.5931
20.0953,3.5783
20.9504,3.5579
21.7827,3.5316
22.5503,3.4988
23.3298,3.4558
24.2168,3.3983
25.1666,3.3287
26.0770,3.2523
26.9346,3.1710
27.7849,3.0844
28.6501,2.9926
29.5289,2.8960
30.4056,2.7968
31.2465,2.7002
32.0518,2.6071
32.8908,2.5097
33.8041,2.4040
34.7239,2.2999
35.5867,2.2066
36.4307,2.1184
37.3059,2.0286
38.1575,1.9506
38.9045,1.9045
39.6275,1.8818
40.4918,1.8574
41.4742,1.8214
42.3955,1.7761
43.2013,1.7260
43.9936,1.6776
44.8262,1.6342
45.6540,1.5931
46.4454,1.5519
47.2270,1.5105
48.0093,1.4685
48.7825,1.4250
49.5470,1.3792
50.3052,1.3306
51.0526,1.2790
51.7825,1.2244
52.4908,1.1671
53.1785,1.1067
53.8566,1.0421
54.5243,0.9734
55.1686,0.9017
55.7899,0.8274
56.4007,0.7490
57.0121,0.6645
57.4742,0.5953
57.7190,0.5101
